"employe_id","branch_id","salary","join_date","resign_date"
1,3,7500000,2018-08-23,
7,1,7500000,2017-04-28,
8,1,13000000,2017-04-28,
9,1,13500000,2017-12-22,2020-10-14
10,1,9000000,2018-03-01,2020-12-20
11,1,8500000,2018-07-02,2019-11-04
12,1,7500000,2018-07-06,2019-10-30
13,1,9500000,2018-07-30,
14,1,6000000,2018-07-30,
15,1,6000000,2020-07-01,
16,1,10000000,2018-08-10,2019-10-28
17,1,14000000,2018-08-04,2020-02-21
18,1,12000000,2018-08-14,
19,1,11500000,2018-09-28,
20,1,11500000,2018-12-28,2020-11-30
21,1,13500000,2019-01-02,
22,1,8000000,2019-01-21,
23,1,13000000,2018-12-18,
24,1,14500000,2019-07-16,
25,1,12500000,2019-03-28,2019-11-29
26,1,10500000,2019-07-22,
27,1,9000000,2019-07-22,
28,1,8500000,2019-07-22,
29,1,14000000,2019-07-22,2020-10-27
30,1,5500000,2019-08-19,
31,3,13000000,2018-10-15,2020-01-20
32,3,14000000,2019-02-08,
33,3,9500000,2019-03-01,2019-11-01
34,2623,13000000,2019-01-15,2020-06-27
35,2623,13500000,2019-02-04,
36,2623,6000000,2019-02-04,
37,2623,6000000,2019-02-04,
38,2590,11500000,2019-02-04,
39,3092,5000000,2019-02-04,
40,2590,8000000,2019-02-04,
41,2623,13500000,2019-02-26,
42,2623,9500000,2019-05-06,
43,2623,14500000,2019-05-13,
44,2623,9500000,2019-03-04,
45,2623,10000000,2019-03-01,2020-08-20
46,2623,7500000,2019-03-01,
47,2623,14500000,2019-03-01,2020-03-10
48,2623,11000000,2019-03-01,
49,2623,8000000,2019-03-01,
50,2623,9000000,2019-07-01,
51,2623,5500000,2019-07-22,
52,2590,5500000,2019-08-05,
53,2590,9500000,2019-08-05,
54,3092,7500000,2019-08-05,
55,2590,12000000,2019-08-05,
56,2590,10500000,2019-08-20,
57,2590,13000000,2019-09-01,
58,2590,13000000,2019-08-23,
59,2,7000000,2017-07-21,
60,2,12500000,2017-06-01,2020-09-04
61,2629,14500000,2018-02-04,
62,2,12500000,2018-02-19,
63,2,13500000,2018-07-30,2019-10-18
64,2629,8000000,2018-08-03,
65,2,12500000,2018-11-05,
66,2,10000000,2018-12-10,
67,2,6500000,2019-07-01,2019-09-20
68,2629,5000000,2019-08-12,2020-02-20
69,2,7500000,2019-08-12,
70,2629,8500000,2019-02-08,
71,2,14000000,2016-08-22,
72,2626,9500000,2018-06-20,2019-10-05
73,2626,12000000,2018-08-06,2019-12-31
74,2626,6000000,2018-11-05,
75,2626,12000000,2017-10-03,2019-12-28
76,2626,7000000,2016-08-22,
77,2630,11000000,2017-09-01,
78,2631,12000000,2018-10-08,
79,2630,5500000,2018-12-21,2019-09-21
80,2630,13500000,2018-10-01,
81,2630,8000000,2018-10-02,
82,2630,14500000,2019-01-14,2020-05-15
83,2625,11500000,2018-12-21,
84,2629,11000000,2017-10-02,
85,2629,12000000,2017-10-02,
86,2629,13000000,2019-04-01,
87,2629,6000000,2018-08-01,2019-10-21
88,2635,10500000,2018-09-10,
89,2635,6500000,2017-12-01,2020-11-20
