"timesheet_id","employee_id","date","checkin","checkout"
23907432,66,2019-08-21,"08:13:31","17:05:02"
23907433,22,2019-08-21,"08:56:34","18:00:48"
23907434,21,2019-08-21,"09:45:08","18:24:06"
23907435,63,2019-08-21,"09:55:47",
23907437,60,2019-08-21,"09:56:05","17:31:08"
23907443,66,2019-08-22,"08:28:27","17:20:25"
23907444,21,2019-08-22,"09:23:37","18:29:51"
23907445,60,2019-08-22,,"18:04:33"
23907447,22,2019-08-23,"08:55:59","17:59:43"
23907448,60,2019-08-23,"10:34:39","17:25:41"
23907450,63,2019-08-23,"11:10:10","17:23:27"
23907452,66,2019-08-26,"07:55:59","17:16:47"
23907453,22,2019-08-26,"09:26:23","18:22:26"
23907454,60,2019-08-26,"09:33:10","17:46:19"
23907455,21,2019-08-26,"09:44:40","18:32:28"
23907456,63,2019-08-26,"09:46:52","17:41:15"
23907459,31,2019-08-26,,"17:57:45"
23907461,66,2019-08-27,"07:59:01","17:00:47"
23907463,63,2019-08-27,"09:50:13","17:50:29"
23907464,60,2019-08-27,"09:50:41","17:57:29"
23907468,22,2019-08-27,,"18:25:52"
23907470,21,2019-08-27,,"18:35:22"
23907472,66,2019-08-28,"08:14:13","18:13:51"
23907473,22,2019-08-28,"09:06:35","18:28:16"
23907506,21,2019-08-28,"09:28:15",
23907527,63,2019-08-28,"11:51:19","17:39:46"
23907529,31,2019-08-28,,"18:02:04"
23907533,66,2019-08-29,"08:18:45","17:02:10"
23907534,63,2019-08-29,"08:59:09","17:49:49"
23907535,21,2019-08-29,"09:28:30","18:36:12"
23907537,60,2019-08-29,,"17:57:45"
23907538,22,2019-08-29,,"18:08:33"
23907542,66,2019-08-30,"08:11:03","17:45:38"
23907543,22,2019-08-30,"09:04:51","18:12:41"
23907544,63,2019-08-30,"09:28:43","17:32:23"
23907545,21,2019-08-30,"09:34:51","19:01:05"
23907546,60,2019-08-30,,"17:33:13"
23907556,31,2019-09-02,"09:04:57",
23907557,21,2019-09-02,"09:14:32","18:32:33"
23907558,22,2019-09-02,"09:24:20","18:13:10"
23907559,63,2019-09-02,"10:14:47","17:01:38"
23907563,66,2019-09-03,"07:51:17","17:00:42"
23907565,22,2019-09-03,"09:14:38",
23907566,21,2019-09-03,"09:15:16","16:04:13"
23907567,60,2019-09-03,"09:43:37","18:02:34"
23907569,63,2019-09-03,"09:44:30","18:05:51"
24472881,36,2019-09-21,"08:00:00","15:15:00"
24472905,43,2019-09-21,,"08:05:00"
24472907,47,2019-09-21,"07:41:00",
24501421,34,2019-09-22,"07:26:55",
24531911,43,2019-09-23,,"08:05:00"
24531958,36,2019-09-23,"05:46:00",
24531977,54,2019-09-22,"09:52:00","17:45:00"
24581041,54,2019-09-23,"13:24:00","21:53:00"
24609303,66,2019-09-04,"08:11:26","18:21:50"
24609304,63,2019-09-04,"08:49:09",
24609305,22,2019-09-04,"09:15:07","18:06:44"
24609307,21,2019-09-04,"09:21:45","18:21:45"
24609308,60,2019-09-04,"09:45:41","17:52:12"
24609312,31,2019-09-04,,"17:56:57"
24609315,63,2019-09-05,"08:49:55","17:47:28"
24609316,22,2019-09-05,"09:13:20","18:27:08"
24609318,21,2019-09-05,"09:25:30","18:31:56"
24609319,66,2019-09-05,,"17:16:05"
24609324,60,2019-09-05,,"17:49:41"
24609330,66,2019-09-06,"08:06:37","17:07:02"
24609332,21,2019-09-06,"09:20:11","18:21:52"
24609333,22,2019-09-06,"09:29:49","18:15:09"
24609334,63,2019-09-06,"09:31:52",
24609335,60,2019-09-06,"10:37:33","17:26:46"
24609337,66,2019-09-09,"07:27:50","17:03:08"
24609338,21,2019-09-09,"09:01:40","18:51:05"
24609339,63,2019-09-09,"09:19:12","17:10:53"
24609341,60,2019-09-09,"09:28:20","17:28:26"
24609355,66,2019-09-10,"07:30:58",
24609361,21,2019-09-10,"09:08:03","18:23:16"
24609365,22,2019-09-10,"09:33:52","18:10:19"
24609370,63,2019-09-10,"09:40:34",
24609373,60,2019-09-10,"10:02:22",
24609380,63,2019-09-11,"07:32:59","17:08:44"
24609382,66,2019-09-11,"07:33:58",
24609385,21,2019-09-11,"09:08:33","18:27:02"
24609386,60,2019-09-11,"09:36:33","17:41:38"
24609388,22,2019-09-11,"09:43:53",
24609393,66,2019-09-12,"07:31:18","17:04:08"
24609396,60,2019-09-12,"09:51:04",
24609397,63,2019-09-12,"10:44:26",
24609400,22,2019-09-12,,"17:05:58"
24609401,21,2019-09-12,,"18:54:29"
24609405,66,2019-09-13,"08:01:08","17:00:44"
24609406,21,2019-09-13,"09:13:43","18:20:16"
24609407,22,2019-09-13,"09:28:35","18:13:52"
24609410,60,2019-09-13,"09:42:09","17:57:42"
24609429,63,2019-09-13,"10:00:44","17:57:30"
24609481,66,2019-09-16,"08:07:15","17:17:00"
24609483,22,2019-09-16,"08:59:34","17:59:25"
24609485,21,2019-09-16,"09:04:16","18:42:31"
24609487,60,2019-09-16,"09:41:52","17:54:16"
24609488,63,2019-09-16,"09:52:13",
24609498,66,2019-09-17,"07:59:58",
24609530,63,2019-09-17,"08:09:48",
24609543,21,2019-09-17,"09:17:44","18:52:52"
24609574,60,2019-09-17,"09:21:21",
24609632,22,2019-09-17,,"18:29:20"
24609635,21,2019-09-18,"08:51:20","19:07:47"
24609637,60,2019-09-18,"10:20:02",
24609638,22,2019-09-18,"10:20:44",
24609672,66,2019-09-19,"07:41:06","17:10:48"
24609673,22,2019-09-19,"09:18:05","18:31:36"
24609675,60,2019-09-19,"10:02:28",
24609676,63,2019-09-19,"10:03:39","17:20:32"
24609678,21,2019-09-19,,"18:34:55"
24609687,66,2019-09-20,"07:36:35","17:00:46"
24609692,21,2019-09-20,"09:21:11","18:58:30"
24609693,22,2019-09-20,"09:21:13","18:04:05"
24609694,63,2019-09-20,"10:01:11",
24609695,60,2019-09-20,"10:24:21",
24609700,66,2019-09-23,"08:09:54","17:05:50"
24609702,31,2019-09-23,"08:20:56",
24609703,21,2019-09-23,"09:03:56","18:28:26"
24609705,22,2019-09-23,"09:22:49","18:26:25"
24609706,63,2019-09-23,"09:28:08",
24655454,43,2019-09-22,"06:00:00",
24655472,41,2019-09-22,"07:29:00","08:00:00"
24655482,99,2019-09-22,"08:32:00","15:15:00"
24655491,43,2019-09-24,"06:00:00","08:00:00"
24655514,49,2019-09-24,"07:16:00","15:08:00"
24704926,54,2019-09-24,"14:00:00",
24760554,49,2019-09-25,"07:34:00","15:12:00"
24795022,71,2019-09-25,"11:37:57","19:50:25"
24817769,75,2019-09-25,"15:00:00","22:00:00"
24818542,98,2019-09-25,"14:46:07","22:16:09"
24819115,38,2019-09-25,,"15:05:14"
24819116,38,2019-09-26,"07:36:33","15:03:47"
24819117,38,2019-09-27,"07:45:10","15:05:16"
24819119,38,2019-09-29,"09:09:36","21:04:04"
24819120,38,2019-09-30,"12:18:49","21:45:03"
24819121,38,2019-10-01,"13:48:51","22:28:57"
24819122,38,2019-10-02,"13:55:07","21:01:29"
